                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.56524,                0.86634,                0.37518,                0.92238,                0.99125,                0.99242,                0.99469,                 0.9178,                0.99009,                0.99028,                0.99438,                0.81879,                0.39513,                0.59408,                0.26711,                0.86884,               0.007954,               0.007954,               0.007954
                     64,                0.56049,                0.86128,                0.37543,                0.91987,                0.99533,                0.99324,                0.99487,                0.91724,                0.99356,                 0.9901,                0.99464,                0.82219,                0.39517,                0.57329,                0.26415,                0.87187,               0.007921,               0.007921,               0.007921
                     65,                0.56553,                0.86491,                0.37429,                0.92228,                0.99541,                0.99242,                0.99462,                0.91538,                0.99443,                0.99145,                 0.9945,                0.81965,                0.40388,                  0.591,                0.26464,                0.87149,               0.007888,               0.007888,               0.007888
                     66,                0.56313,                0.86006,                 0.3735,                0.91799,                0.99356,                0.98983,                0.99467,                0.91513,                0.99246,                0.98892,                0.99453,                0.81609,                0.39934,                0.58463,                0.26445,                0.87413,               0.007855,               0.007855,               0.007855
                     67,                0.55923,                0.84739,                 0.3726,                0.91983,                0.99171,                0.99145,                 0.9948,                0.91561,                0.98957,                0.98931,                0.99438,                0.81975,                0.39498,                0.57085,                 0.2628,                0.87526,               0.007822,               0.007822,               0.007822
                     68,                0.55333,                0.83774,                0.36594,                0.91676,                0.99396,                0.99192,                0.99483,                 0.9186,                0.99165,                0.98912,                 0.9945,                0.82481,                0.39463,                0.56576,                0.25941,                0.87055,               0.007789,               0.007789,               0.007789
                     69,                0.55854,                0.85915,                 0.3702,                0.92077,                0.99435,                  0.991,                0.99473,                0.92041,                0.99279,                0.98945,                0.99462,                0.81891,                0.39222,                0.56815,                0.26043,                0.86917,               0.007756,               0.007756,               0.007756
                     70,                0.55549,                0.85146,                0.36726,                0.92057,                0.99389,                0.99242,                0.99479,                0.91714,                0.99182,                0.98994,                0.99464,                0.81864,                0.39704,                0.58941,                0.26147,                0.87218,               0.007723,               0.007723,               0.007723
                     71,                0.54926,                0.83246,                0.36692,                0.91602,                0.99397,                0.99225,                0.99468,                0.91999,                0.99221,                 0.9905,                0.99467,                0.82077,                 0.3908,                0.56381,                0.26364,                0.87249,                0.00769,                0.00769,                0.00769
                     72,                0.55081,                 0.8372,                0.36824,                0.91881,                 0.9947,                0.99223,                0.99473,                0.91699,                0.99253,                0.99048,                 0.9945,                0.82509,                0.38876,                0.55777,                0.25769,                0.86707,               0.007657,               0.007657,               0.007657
